consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_appgroup_combined,provider_app,provider_env,provider_loc,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49156,TCP,Allowed,Allowed,Provider,2021-07-16T00:00:05Z,2021-07-16T23:40:38Z,3267
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49158,TCP,Allowed,Allowed,Consumer,2021-07-16T03:28:49Z,2021-07-16T23:30:38Z,289
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49158,TCP,Allowed,Allowed,Provider,2021-07-16T00:10:36Z,2021-07-16T23:39:53Z,595
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49159,TCP,Allowed,Allowed,Consumer,2021-07-16T02:45:08Z,2021-07-16T23:37:55Z,640
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49159,TCP,Allowed,Allowed,Provider,2021-07-16T00:01:20Z,2021-07-16T23:35:48Z,781
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49160,TCP,Allowed,Allowed,Consumer,2021-07-16T02:49:25Z,2021-07-16T23:19:25Z,46
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49189,TCP,Allowed,Allowed,Consumer,2021-07-16T02:45:52Z,2021-07-16T23:30:38Z,106
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49189,TCP,Allowed,Allowed,Provider,2021-07-16T00:01:02Z,2021-07-16T21:31:05Z,13
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,51225,TCP,Allowed,Allowed,Consumer,2021-07-16T06:00:32Z,2021-07-16T23:30:38Z,58
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,51225,TCP,Allowed,Allowed,Provider,2021-07-16T00:01:08Z,2021-07-16T23:31:09Z,127
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,51620,TCP,Allowed,Allowed,Consumer,2021-07-16T06:00:32Z,2021-07-16T07:30:32Z,7
