consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_appgroup_combined,provider_app,provider_env,provider_loc,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,APPLICATION | NETBZZCKUP | PROD | ON PREgIOM,NETBZZCKUP,PROD,ON PREgIOM,Unicast,1556,TCP,Allowed,Allowed,Consumer,2021-07-16T02:58:04Z,2021-07-16T23:13:32Z,24
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49158,TCP,Allowed,Allowed,Provider,2021-07-16T00:08:36Z,2021-07-16T23:28:10Z,498
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,PATCH MGMT | IST WSUS | PROD | ON PREgIOM,IST WSUS,PROD,ON PREgIOM,Unicast,8530,TCP,Allowed,Allowed,Provider,2021-07-16T03:01:21Z,2021-07-16T21:19:41Z,12
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T03:08:19Z,2021-07-16T22:46:02Z,29
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,80,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T01:28:10Z,2021-07-16T22:46:32Z,29
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,10123,TCP,Allowed,Allowed,Consumer,2021-07-16T05:49:05Z,2021-07-16T07:50:24Z,15
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,10123,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:18:50Z,2021-07-16T19:22:28Z,24
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,SQL A | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Unicast,1433,TCP,Allowed,Allowed,Consumer,2021-07-16T05:42:22Z,2021-07-16T07:35:56Z,21
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,SQL A | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Unicast,1433,TCP,Allowed,Allowed,Provider,2021-07-16T00:21:24Z,2021-07-16T22:01:14Z,89
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,APPLICATION | NZZME SPZZCE | PROD | ON PREgIOM,NZZME SPZZCE,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T03:14:02Z,2021-07-16T23:34:02Z,29
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T02:35:53Z,2021-07-16T23:40:28Z,12126
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Provider,2021-07-16T00:00:38Z,2021-07-16T23:40:33Z,17857
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Consumer,2021-07-16T03:42:13Z,2021-07-16T23:12:56Z,63
